U_c	70	90	110	130
-2.500	1.710	3.350	5.460	7.970
-2.000	2.640	4.450	6.870	9.410
-1.500	3.720	5.640	8.080	10.620
-1.000	4.920	6.860	9.560	12.330
-0.500	6.310	8.470	11.110	14.300
0.000	7.710	10.500	12.400	15.330
0.500	8.740	11.500	14.480	17.660
1.000	9.960	13.200	16.330	19.190
1.500	11.190	14.200	17.300	0.000
2.000	12.600	15.800	18.880	0.000
2.500	14.100	17.200	20.300	0.000
3.000	15.530	18.500	22.200	0.000
3.500	16.780	20.200	0.000	0.000
4.000	18.330	21.800	0.000	0.000
4.500	19.800	23.000	0.000	0.000
5.000	21.300	24.900	0.000	0.000
